OrderID,Date,Region,Category,Product,UnitsSold,UnitPrice,Revenue,CustomerSegment
ORD-1072,2025-03-21,North West,Custom Grillz,Silver Grillz,5,806.21,4031.05,New Customer
ORD-1073,2025-03-24,London,Jewellery,Diamond Earrings,2,269.99,539.98,New Customer
ORD-1074,2025-03-25,London,Watches,Chronograph Watch,2,292.19,584.38,VIP
ORD-1075,2025-03-26,London,Jewellery,Silver Necklace,4,258.64,1034.56,Returning Customer
ORD-1076,2025-03-27,North West,Custom Grillz,Silver Grillz,2,660.62,1321.24,Returning Customer
ORD-1077,2025-03-27,South East,Jewellery,Gold Ring,4,279.51,1118.04,New Customer
ORD-1078,2025-03-31,Midlands,Custom Grillz,Diamond Grillz,4,1016.31,4065.24,VIP
ORD-1079,2025-03-31,London,Jewellery,Silver Necklace,1,118.14,118.14,Returning Customer
ORD-1080,2025-04-01,Midlands,Accessories,Cufflinks,3,34.53,103.59,New Customer
ORD-1081,2025-04-01,South East,Custom Grillz,Diamond Grillz,1,789.9,789.9,Returning Customer
ORD-1082,2025-04-02,Scotland,Jewellery,Bracelet,4,248.76,995.04,Returning Customer
ORD-1083,2025-04-02,South East,Watches,Dress Watch,1,510.62,510.62,New Customer
ORD-1084,2025-04-05,Wales,Jewellery,Silver Necklace,2,207.94,415.88,Returning Customer
ORD-1085,2025-04-05,Midlands,Jewellery,Gold Ring,1,125.15,125.15,Returning Customer
ORD-1086,2025-04-06,London,Custom Grillz,Silver Grillz,1,575.78,575.78,Returning Customer
ORD-1087,2025-04-08,Midlands,Jewellery,Diamond Earrings,1,158.46,158.46,Returning Customer
ORD-1088,2025-04-09,North West,Watches,Chronograph Watch,4,221.85,887.4,Returning Customer
ORD-1089,2025-04-11,London,Custom Grillz,Silver Grillz,1,556.22,556.22,New Customer
ORD-1090,2025-04-14,Midlands,Jewellery,Pendant,4,153.8,615.2,Returning Customer
ORD-1091,2025-04-14,North West,Jewellery,Pendant,2,242.37,484.74,Returning Customer
ORD-1092,2025-04-17,Scotland,Jewellery,Bracelet,4,295.59,1182.36,New Customer
ORD-1093,2025-04-18,North West,Accessories,Wallet,2,60.38,120.76,New Customer
ORD-1094,2025-04-18,London,Accessories,Wallet,1,39.97,39.97,Returning Customer
ORD-1095,2025-04-20,North West,Custom Grillz,Silver Grillz,1,456.7,456.7,New Customer
ORD-1096,2025-04-21,London,Accessories,Keyring,1,74.44,74.44,New Customer
ORD-1097,2025-04-22,South East,Custom Grillz,Gold Grillz,4,834.51,3338.04,Returning Customer
ORD-1098,2025-04-23,South East,Accessories,Tie Clip,1,67.55,67.55,New Customer
ORD-1099,2025-04-23,Midlands,Watches,Dive Watch,1,539.67,539.67,New Customer
ORD-1100,2025-04-24,London,Custom Grillz,Diamond Grillz,1,871.37,871.37,New Customer
ORD-1101,2025-04-24,North West,Custom Grillz,Gold Grillz,4,505.45,2021.8,VIP
ORD-1102,2025-04-27,Wales,Jewellery,Bracelet,1,171.32,171.32,Returning Customer
ORD-1103,2025-04-28,Scotland,Watches,Dress Watch,4,459.55,1838.2,Returning Customer
ORD-1104,2025-04-28,London,Watches,Dress Watch,4,441.3,1765.2,Returning Customer
ORD-1105,2025-05-01,London,Jewellery,Gold Ring,6,304.76,1828.56,New Customer
ORD-1106,2025-05-01,North West,Watches,Dress Watch,2,300.97,601.94,Returning Customer
ORD-1107,2025-05-02,London,Custom Grillz,Silver Grillz,1,1010.31,1010.31,New Customer
ORD-1108,2025-05-03,North West,Custom Grillz,Silver Grillz,1,413.91,413.91,Returning Customer
ORD-1109,2025-05-04,London,Watches,Smart Watch,2,213.03,426.06,Returning Customer
ORD-1110,2025-05-05,South East,Custom Grillz,Gold Grillz,1,850.38,850.38,Returning Customer
ORD-1111,2025-05-06,London,Custom Grillz,Silver Grillz,1,1018.67,1018.67,New Customer
ORD-1112,2025-05-06,London,Accessories,Keyring,1,48.64,48.64,Returning Customer
ORD-1113,2025-05-07,North West,Jewellery,Pendant,1,271.78,271.78,Returning Customer
ORD-1114,2025-05-07,Scotland,Custom Grillz,Gold Grillz,3,667.76,2003.28,New Customer
ORD-1115,2025-05-07,Midlands,Watches,Chronograph Watch,2,326.63,653.26,Returning Customer
ORD-1116,2025-05-09,Scotland,Watches,Dive Watch,5,226.09,1130.45,VIP
ORD-1117,2025-05-12,London,Accessories,Cufflinks,2,60.2,120.4,VIP
ORD-1118,2025-05-12,North West,Jewellery,Pendant,1,209.97,209.97,New Customer
ORD-1119,2025-05-13,Midlands,Watches,Dress Watch,3,378.29,1134.87,VIP
ORD-1120,2025-05-14,North West,Accessories,Wallet,5,74.23,371.15,Returning Customer
ORD-1121,2025-05-17,North West,Custom Grillz,Gold Grillz,1,1074.42,1074.42,Returning Customer
ORD-1122,2025-05-20,London,Watches,Dress Watch,3,368.31,1104.93,Returning Customer
ORD-1123,2025-05-21,Scotland,Watches,Chronograph Watch,4,288.94,1155.76,Returning Customer
ORD-1124,2025-05-22,South East,Accessories,Wallet,2,45.2,90.4,New Customer
ORD-1125,2025-05-22,London,Jewellery,Gold Ring,1,188.62,188.62,Returning Customer
ORD-1126,2025-05-23,London,Custom Grillz,Silver Grillz,2,511.8,1023.6,Returning Customer
ORD-1127,2025-05-24,North West,Jewellery,Gold Ring,5,176.97,884.85,New Customer
ORD-1128,2025-05-25,South East,Accessories,Cufflinks,2,42.59,85.18,New Customer
ORD-1129,2025-05-25,Scotland,Watches,Smart Watch,3,297.3,891.9,New Customer
ORD-1130,2025-05-26,South East,Accessories,Cufflinks,1,77.56,77.56,New Customer
ORD-1131,2025-05-28,Midlands,Jewellery,Diamond Earrings,2,253.28,506.56,New Customer
ORD-1132,2025-05-28,South East,Jewellery,Gold Ring,2,226.63,453.26,New Customer
ORD-1133,2025-06-01,London,Custom Grillz,Diamond Grillz,5,539.78,2698.9,VIP
ORD-1134,2025-06-02,London,Accessories,Tie Clip,3,44.03,132.09,Returning Customer
ORD-1135,2025-06-03,North West,Watches,Smart Watch,3,512.24,1536.72,VIP
ORD-1136,2025-06-05,South East,Accessories,Wallet,4,28.76,115.04,Returning Customer
ORD-1137,2025-06-12,London,Custom Grillz,Silver Grillz,2,932.21,1864.42,New Customer
ORD-1138,2025-06-12,London,Jewellery,Bracelet,4,158.16,632.64,Returning Customer
ORD-1139,2025-06-15,London,Accessories,Cufflinks,2,80.83,161.66,Returning Customer
ORD-1140,2025-06-19,Scotland,Watches,Chronograph Watch,1,365.74,365.74,Returning Customer
ORD-1141,2025-06-20,London,Accessories,Wallet,3,30.42,91.26,Returning Customer
ORD-1142,2025-06-20,North West,Watches,Smart Watch,5,508.83,2544.15,VIP
ORD-1143,2025-06-21,Scotland,Jewellery,Silver Necklace,3,275.71,827.13,Returning Customer
ORD-1144,2025-06-24,London,Watches,Dress Watch,5,268.81,1344.05,VIP
ORD-1145,2025-06-25,North West,Watches,Dive Watch,2,534.2,1068.4,Returning Customer
ORD-1146,2025-07-02,North West,Custom Grillz,Silver Grillz,4,646.36,2585.44,New Customer
ORD-1147,2025-07-06,Scotland,Jewellery,Pendant,1,250.09,250.09,Returning Customer
ORD-1148,2025-07-09,South East,Accessories,Wallet,2,55.32,110.64,Returning Customer
ORD-1149,2025-07-16,South East,Custom Grillz,Silver Grillz,1,1103.15,1103.15,Returning Customer
ORD-1150,2025-07-17,Midlands,Accessories,Tie Clip,3,42.75,128.25,New Customer
ORD-1151,2025-07-18,London,Watches,Dress Watch,3,238.72,716.16,VIP
ORD-1152,2025-07-18,Midlands,Accessories,Cufflinks,2,60.89,121.78,New Customer
ORD-1153,2025-07-19,Scotland,Accessories,Cufflinks,5,40.13,200.65,Returning Customer
ORD-1154,2025-07-21,London,Custom Grillz,Gold Grillz,2,485.25,970.5,Returning Customer
ORD-1155,2025-07-22,Scotland,Jewellery,Diamond Earrings,2,242.82,485.64,New Customer
ORD-1156,2025-07-22,Midlands,Accessories,Cufflinks,1,51.58,51.58,Returning Customer
ORD-1157,2025-07-24,South East,Accessories,Cufflinks,3,35.87,107.61,Returning Customer
ORD-1158,2025-07-25,South East,Jewellery,Pendant,1,222.73,222.73,New Customer
ORD-1159,2025-07-25,South East,Custom Grillz,Diamond Grillz,1,713.41,713.41,Returning Customer
ORD-1160,2025-07-26,Midlands,Jewellery,Silver Necklace,1,305.75,305.75,New Customer
ORD-1161,2025-07-26,North West,Accessories,Keyring,2,34.72,69.44,Returning Customer
ORD-1162,2025-07-27,London,Accessories,Cufflinks,2,57.63,115.26,New Customer
ORD-1163,2025-07-28,Wales,Jewellery,Silver Necklace,3,147.3,441.9,New Customer
ORD-1164,2025-07-28,South East,Jewellery,Diamond Earrings,1,236.08,236.08,New Customer
ORD-1165,2025-07-29,London,Jewellery,Silver Necklace,1,117.77,117.77,Returning Customer
ORD-1166,2025-07-30,London,Jewellery,Diamond Earrings,2,294.48,588.96,New Customer
ORD-1167,2025-07-30,South East,Accessories,Cufflinks,1,45.18,45.18,New Customer
ORD-1168,2025-07-31,South East,Watches,Chronograph Watch,4,260.14,1040.56,Returning Customer
ORD-1169,2025-08-02,Scotland,Accessories,Cufflinks,3,80.52,241.56,New Customer
ORD-1170,2025-08-03,London,Accessories,Cufflinks,1,53.24,53.24,Returning Customer
ORD-1171,2025-08-05,South East,Accessories,Tie Clip,3,53.8,161.4,Returning Customer
ORD-1172,2025-08-06,Wales,Custom Grillz,Silver Grillz,5,839.5,4197.5,New Customer
ORD-1173,2025-08-07,London,Custom Grillz,Gold Grillz,2,629.69,1259.38,New Customer
ORD-1174,2025-08-08,London,Accessories,Cufflinks,4,79.77,319.08,Returning Customer
ORD-1175,2025-08-08,London,Jewellery,Gold Ring,1,129.05,129.05,VIP
ORD-1176,2025-08-09,London,Watches,Smart Watch,2,336.56,673.12,Returning Customer
ORD-1177,2025-08-10,Wales,Watches,Smart Watch,3,484.23,1452.69,New Customer
ORD-1178,2025-08-13,London,Custom Grillz,Gold Grillz,4,715.71,2862.84,Returning Customer
ORD-1179,2025-08-14,Wales,Custom Grillz,Diamond Grillz,1,645.44,645.44,VIP
ORD-1180,2025-08-15,London,Custom Grillz,Silver Grillz,1,721.84,721.84,New Customer
ORD-1181,2025-08-18,South East,Custom Grillz,Silver Grillz,3,920.79,2762.37,New Customer
ORD-1182,2025-08-19,South East,Jewellery,Gold Ring,2,235.95,471.9,New Customer
ORD-1183,2025-08-22,South East,Jewellery,Pendant,2,123.65,247.3,Returning Customer
ORD-1184,2025-08-23,Scotland,Jewellery,Diamond Earrings,3,114.56,343.68,New Customer
ORD-1185,2025-08-28,Midlands,Custom Grillz,Silver Grillz,5,1070.9,5354.5,Returning Customer
ORD-1186,2025-08-28,North West,Watches,Smart Watch,5,448.36,2241.8,Returning Customer
ORD-1187,2025-08-29,Wales,Custom Grillz,Gold Grillz,2,432.82,865.64,VIP
ORD-1188,2025-08-31,London,Jewellery,Pendant,1,133.07,133.07,Returning Customer
ORD-1189,2025-08-31,South East,Accessories,Wallet,1,60.38,60.38,Returning Customer
ORD-1190,2025-09-01,South East,Accessories,Cufflinks,1,30.81,30.81,Returning Customer
ORD-1191,2025-09-04,London,Watches,Dive Watch,3,224.58,673.74,New Customer
ORD-1192,2025-09-04,South East,Jewellery,Diamond Earrings,1,298.27,298.27,Returning Customer
ORD-1193,2025-09-05,Scotland,Accessories,Keyring,2,41.01,82.02,Returning Customer
ORD-1194,2025-09-06,London,Custom Grillz,Gold Grillz,2,1093.99,2187.98,New Customer
ORD-1195,2025-09-07,South East,Watches,Dive Watch,2,466.88,933.76,New Customer
ORD-1196,2025-09-11,South East,Jewellery,Diamond Earrings,2,168.69,337.38,VIP
ORD-1197,2025-09-11,South East,Watches,Dive Watch,1,267.18,267.18,New Customer
ORD-1198,2025-09-14,Midlands,Watches,Smart Watch,1,380.77,380.77,Returning Customer
ORD-1199,2025-09-15,North West,Watches,Dress Watch,2,203.97,407.94,New Customer
ORD-1200,2025-09-15,Midlands,Accessories,Wallet,1,40.6,40.6,New Customer
ORD-1201,2025-09-15,Midlands,Accessories,Wallet,1,71.05,71.05,Returning Customer
ORD-1202,2025-09-15,London,Accessories,Tie Clip,4,57.59,230.36,Returning Customer
ORD-1203,2025-09-16,London,Accessories,Wallet,2,67.02,134.04,Returning Customer
ORD-1204,2025-09-17,Midlands,Accessories,Wallet,2,59.96,119.92,Returning Customer
ORD-1205,2025-09-17,North West,Watches,Dive Watch,1,263.64,263.64,New Customer
ORD-1206,2025-09-19,Scotland,Accessories,Wallet,3,69.32,207.96,VIP
ORD-1207,2025-09-20,London,Custom Grillz,Gold Grillz,1,663.49,663.49,Returning Customer
ORD-1208,2025-09-20,London,Watches,Chronograph Watch,3,523.02,1569.06,Returning Customer
ORD-1209,2025-09-22,London,Jewellery,Gold Ring,1,255.59,255.59,Returning Customer
ORD-1210,2025-09-22,London,Accessories,Keyring,2,35.01,70.02,New Customer
ORD-1211,2025-09-23,South East,Custom Grillz,Gold Grillz,1,1121.04,1121.04,Returning Customer
ORD-1212,2025-09-26,London,Accessories,Keyring,2,69.92,139.84,New Customer
ORD-1213,2025-09-27,Midlands,Watches,Smart Watch,3,198.86,596.58,Returning Customer
ORD-1214,2025-09-28,London,Custom Grillz,Diamond Grillz,1,1024.76,1024.76,Returning Customer
ORD-1215,2025-09-28,Midlands,Watches,Dive Watch,2,506.1,1012.2,New Customer
ORD-1216,2025-10-02,Wales,Accessories,Wallet,5,34.39,171.95,Returning Customer
ORD-1217,2025-10-04,Scotland,Custom Grillz,Diamond Grillz,3,771.75,2315.25,New Customer
ORD-1218,2025-10-07,North West,Watches,Dive Watch,1,564.43,564.43,New Customer
ORD-1219,2025-10-10,Scotland,Accessories,Cufflinks,1,77.33,77.33,Returning Customer
ORD-1220,2025-10-10,North West,Accessories,Wallet,3,31.16,93.48,New Customer
ORD-1221,2025-10-12,North West,Jewellery,Bracelet,2,296.66,593.32,New Customer
ORD-1222,2025-10-12,North West,Accessories,Keyring,3,48.11,144.33,New Customer
ORD-1223,2025-10-12,Midlands,Custom Grillz,Diamond Grillz,1,1146.46,1146.46,New Customer
ORD-1224,2025-10-14,North West,Custom Grillz,Gold Grillz,3,1132.41,3397.23,New Customer
ORD-1225,2025-10-15,Midlands,Jewellery,Diamond Earrings,2,234.74,469.48,VIP
ORD-1226,2025-10-15,South East,Watches,Chronograph Watch,3,209.21,627.63,VIP
ORD-1227,2025-10-16,South East,Jewellery,Bracelet,1,296.69,296.69,New Customer
ORD-1228,2025-10-17,Midlands,Custom Grillz,Gold Grillz,3,846.9,2540.7,Returning Customer
ORD-1229,2025-10-19,North West,Custom Grillz,Silver Grillz,2,844.09,1688.18,New Customer
ORD-1230,2025-10-19,North West,Accessories,Cufflinks,3,63.11,189.33,Returning Customer
ORD-1231,2025-10-23,Scotland,Watches,Chronograph Watch,2,284.95,569.9,Returning Customer
ORD-1232,2025-10-25,North West,Custom Grillz,Diamond Grillz,1,485.07,485.07,New Customer
ORD-1233,2025-10-25,London,Watches,Dive Watch,5,533.28,2666.4,New Customer
ORD-1234,2025-10-26,London,Watches,Dive Watch,2,223.79,447.58,Returning Customer
ORD-1235,2025-10-26,London,Custom Grillz,Diamond Grillz,1,509.23,509.23,Returning Customer
ORD-1236,2025-10-26,South East,Accessories,Tie Clip,2,41.95,83.9,New Customer
ORD-1237,2025-10-27,North West,Custom Grillz,Gold Grillz,2,583.23,1166.46,New Customer
ORD-1238,2025-10-31,North West,Custom Grillz,Silver Grillz,1,993.31,993.31,New Customer
ORD-1239,2025-11-02,South East,Accessories,Tie Clip,2,28.19,56.38,Returning Customer
ORD-1240,2025-11-04,London,Watches,Smart Watch,3,236.89,710.67,New Customer
ORD-1241,2025-11-05,Midlands,Accessories,Wallet,1,68.55,68.55,Returning Customer
ORD-1242,2025-11-05,London,Accessories,Wallet,2,76.38,152.76,New Customer
ORD-1243,2025-11-07,Midlands,Custom Grillz,Gold Grillz,2,479.57,959.14,Returning Customer
ORD-1244,2025-11-07,South East,Custom Grillz,Silver Grillz,2,553.29,1106.58,Returning Customer
ORD-1245,2025-11-07,South East,Custom Grillz,Silver Grillz,2,656.17,1312.34,New Customer
ORD-1246,2025-11-08,London,Watches,Smart Watch,7,524.05,3668.35,New Customer
ORD-1247,2025-11-08,North West,Watches,Dress Watch,1,226.06,226.06,New Customer
ORD-1248,2025-11-09,Scotland,Watches,Smart Watch,1,276.55,276.55,New Customer
ORD-1249,2025-11-11,London,Custom Grillz,Silver Grillz,1,775.65,775.65,Returning Customer
ORD-1250,2025-11-13,Wales,Accessories,Cufflinks,2,58.43,116.86,Returning Customer
ORD-1251,2025-11-13,South East,Custom Grillz,Gold Grillz,1,771.3,771.3,New Customer
ORD-1252,2025-11-13,London,Accessories,Keyring,4,61.19,244.76,Returning Customer
ORD-1253,2025-11-14,South East,Custom Grillz,Diamond Grillz,1,785.64,785.64,New Customer
ORD-1254,2025-11-15,Scotland,Accessories,Cufflinks,3,36.82,110.46,New Customer
ORD-1255,2025-11-15,North West,Jewellery,Silver Necklace,1,312.61,312.61,New Customer
ORD-1256,2025-11-16,North West,Custom Grillz,Diamond Grillz,2,478.33,956.66,New Customer
ORD-1257,2025-11-16,Scotland,Custom Grillz,Gold Grillz,1,520.74,520.74,New Customer
ORD-1258,2025-11-16,Wales,Accessories,Wallet,3,31.75,95.25,VIP
ORD-1259,2025-11-16,London,Custom Grillz,Diamond Grillz,4,568.82,2275.28,New Customer
ORD-1260,2025-11-17,North West,Watches,Chronograph Watch,4,474.78,1899.12,Returning Customer
ORD-1261,2025-11-18,Wales,Accessories,Tie Clip,2,38.79,77.58,Returning Customer
ORD-1262,2025-11-18,South East,Jewellery,Gold Ring,3,215.65,646.95,New Customer
ORD-1263,2025-11-18,Scotland,Custom Grillz,Diamond Grillz,1,1013.54,1013.54,Returning Customer
ORD-1264,2025-11-20,Scotland,Accessories,Cufflinks,1,47.98,47.98,New Customer
ORD-1265,2025-11-21,London,Accessories,Keyring,1,77.04,77.04,Returning Customer
ORD-1266,2025-11-22,London,Custom Grillz,Diamond Grillz,1,404.21,404.21,Returning Customer
ORD-1267,2025-11-23,Scotland,Custom Grillz,Silver Grillz,3,408.44,1225.32,Returning Customer
ORD-1268,2025-11-23,London,Custom Grillz,Diamond Grillz,3,582.19,1746.57,New Customer
ORD-1269,2025-11-26,London,Jewellery,Gold Ring,2,323.38,646.76,New Customer
ORD-1270,2025-11-26,South East,Custom Grillz,Silver Grillz,1,920.58,920.58,New Customer
ORD-1271,2025-11-27,Wales,Watches,Chronograph Watch,2,526.76,1053.52,New Customer
ORD-1272,2025-11-29,North West,Custom Grillz,Gold Grillz,1,883.17,883.17,New Customer
ORD-1273,2025-11-29,London,Jewellery,Diamond Earrings,1,166.16,166.16,New Customer
ORD-1274,2025-11-30,North West,Jewellery,Bracelet,4,188.92,755.68,Returning Customer
ORD-1275,2025-11-30,Wales,Accessories,Wallet,1,73.89,73.89,Returning Customer
ORD-1276,2025-12-01,London,Jewellery,Diamond Earrings,2,304.23,608.46,New Customer
ORD-1277,2025-12-02,North West,Accessories,Keyring,1,46.15,46.15,New Customer
ORD-1278,2025-12-02,London,Accessories,Cufflinks,2,79.35,158.7,New Customer
ORD-1279,2025-12-05,Wales,Jewellery,Bracelet,1,264.26,264.26,Returning Customer
ORD-1280,2025-12-05,Scotland,Accessories,Keyring,2,71.66,143.32,VIP
ORD-1281,2025-12-05,Midlands,Watches,Chronograph Watch,2,203.51,407.02,Returning Customer
ORD-1282,2025-12-06,North West,Custom Grillz,Diamond Grillz,5,1070.26,5351.3,Returning Customer
ORD-1283,2025-12-06,Wales,Accessories,Tie Clip,2,32.07,64.14,VIP
ORD-1284,2025-12-07,Midlands,Custom Grillz,Diamond Grillz,3,1108.26,3324.78,Returning Customer
ORD-1285,2025-12-07,Scotland,Jewellery,Bracelet,5,120.49,602.45,Returning Customer
ORD-1286,2025-12-07,Scotland,Custom Grillz,Diamond Grillz,2,1134.16,2268.32,Returning Customer
ORD-1287,2025-12-07,London,Custom Grillz,Gold Grillz,1,708.59,708.59,Returning Customer
ORD-1288,2025-12-08,London,Jewellery,Pendant,1,271.78,271.78,New Customer
ORD-1289,2025-12-08,Scotland,Custom Grillz,Diamond Grillz,1,872.52,872.52,Returning Customer
ORD-1290,2025-12-10,South East,Custom Grillz,Gold Grillz,2,536.73,1073.46,Returning Customer
ORD-1291,2025-12-10,South East,Accessories,Tie Clip,3,74.37,223.11,New Customer
ORD-1292,2025-12-10,South East,Watches,Dress Watch,2,295.17,590.34,New Customer
ORD-1293,2025-12-11,Midlands,Custom Grillz,Silver Grillz,1,600.4,600.4,New Customer
ORD-1294,2025-12-11,Wales,Watches,Smart Watch,1,436.39,436.39,Returning Customer
ORD-1295,2025-12-13,London,Custom Grillz,Gold Grillz,4,913.83,3655.32,New Customer
ORD-1296,2025-12-14,North West,Jewellery,Pendant,2,199.01,398.02,Returning Customer
ORD-1297,2025-12-15,London,Custom Grillz,Silver Grillz,1,699.88,699.88,New Customer
ORD-1298,2025-12-15,South East,Accessories,Wallet,1,67.45,67.45,VIP
